dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,ACAN,1,87581,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,B3GAT1,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,BGN,1,16841,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,CILP,1,22885,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,COL2A1,1,27397,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,COL9A1,1,90,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,COL9A2,1,8569,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,COL9A3,1,21848,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,COMP,1,88662,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,FMOD,1,30209,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,HAPLN1,1,8373,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,HAS2,1,325,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,KRT19,1,3,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,MATN3,1,24,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,disc_matrix_homeostasis,SOX9,1,9199,18461300
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,ADAMTS4,1,14,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,ADAMTS5,1,4133,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL1A1,1,34191,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL1A2,1,84202,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL3A1,1,61693,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL5A1,1,4060,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL5A2,1,15780,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL6A1,1,44258,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL6A2,1,26548,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,COL6A3,1,30162,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,DCN,1,176280,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,FN1,1,202194,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,LOX,1,29809,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,LOXL2,1,2378,72099228
