dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986003,hypoxia_oxidative_stress,EGLN1,1,2862,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,EPAS1,1,2125,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,GCLM,1,861,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,GPX1,1,7867,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,HIF1A,1,9995,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,HMOX1,1,8967,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,LDHA,1,65343,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,NFE2L2,1,1894,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,NQO1,1,2672,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,PDK1,1,1236,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,PRDX1,1,32147,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,SLC2A1,1,12326,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,SOD1,1,31584,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,SOD2,1,24714,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,TXN,1,16203,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,VEGFA,1,23191,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,ACAN,1,99675,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,B3GAT1,0,0,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,BGN,1,111199,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,CILP,1,196078,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,COL2A1,1,277872,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,COL9A1,1,144,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,COL9A2,1,19995,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,COL9A3,1,39563,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,COMP,1,448557,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,FMOD,1,230851,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,HAPLN1,1,42309,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,HAS2,1,1724,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,KRT19,1,2,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,MATN3,1,150,49182514
GSE251686,GSM7986003,disc_matrix_homeostasis,SOX9,1,40754,49182514
GSE251686,GSM7986004,ecm_collagen_remodeling,ADAMTS4,1,650,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,ADAMTS5,1,804,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL1A1,1,485260,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL1A2,1,362945,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL3A1,1,257910,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL5A1,1,43032,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL5A2,1,55200,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL6A1,1,84702,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL6A2,1,84904,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,COL6A3,1,47823,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,DCN,1,597978,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,FN1,1,860158,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,LOX,1,27893,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,LOXL2,1,21686,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,LUM,1,386863,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,MMP2,1,18239,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,MMP3,1,3460,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,MMP9,1,14657,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,MMP13,1,13579,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,POSTN,1,344959,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,SPARC,1,761189,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,TIMP1,1,122890,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,TIMP2,1,23825,59253285
GSE251686,GSM7986004,ecm_collagen_remodeling,TNC,1,65203,59253285
GSE251686,GSM7986004,inflammatory_nfkb,CCL2,1,4842,59253285
GSE251686,GSM7986004,inflammatory_nfkb,CCL5,1,40,59253285
GSE251686,GSM7986004,inflammatory_nfkb,CXCL8,1,963,59253285
GSE251686,GSM7986004,inflammatory_nfkb,FOS,1,289870,59253285
GSE251686,GSM7986004,inflammatory_nfkb,IKBKB,1,309,59253285
GSE251686,GSM7986004,inflammatory_nfkb,IKBKG,1,24,59253285
GSE251686,GSM7986004,inflammatory_nfkb,IL1B,1,84,59253285
GSE251686,GSM7986004,inflammatory_nfkb,IL6,1,265,59253285
GSE251686,GSM7986004,inflammatory_nfkb,JUN,1,284089,59253285
GSE251686,GSM7986004,inflammatory_nfkb,NFKB1,1,978,59253285
GSE251686,GSM7986004,inflammatory_nfkb,NFKB2,1,417,59253285
GSE251686,GSM7986004,inflammatory_nfkb,NFKBIA,1,63834,59253285
GSE251686,GSM7986004,inflammatory_nfkb,NLRP3,1,8,59253285
GSE251686,GSM7986004,inflammatory_nfkb,RELA,1,2274,59253285
GSE251686,GSM7986004,inflammatory_nfkb,RELB,1,323,59253285
GSE251686,GSM7986004,inflammatory_nfkb,STAT3,1,4654,59253285
GSE251686,GSM7986004,inflammatory_nfkb,TICAM1,1,499,59253285
GSE251686,GSM7986004,inflammatory_nfkb,TLR2,1,62,59253285
GSE251686,GSM7986004,inflammatory_nfkb,TLR4,1,85,59253285
GSE251686,GSM7986004,inflammatory_nfkb,TNF,1,100,59253285
GSE251686,GSM7986004,inflammatory_nfkb,TNFRSF1A,1,6635,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,BNIP3,1,26994,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,CA9,1,23200,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,EGLN1,1,2524,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,EPAS1,1,1452,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,GCLM,1,1940,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,GPX1,1,17410,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,HIF1A,1,18863,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,HMOX1,1,2115,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,LDHA,1,86420,59253285
