dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,TLR2,1,583.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,TLR4,1,286.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,TNF,1,4189.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,TNFRSF1A,1,2882.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,BNIP3,1,6193.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,CA9,1,2105.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,EGLN1,1,1425.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,EPAS1,1,1672.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,GCLM,1,1665.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,GPX1,1,5286.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,HIF1A,1,10062.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,HMOX1,1,24922.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,LDHA,1,49272.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,NFE2L2,1,5571.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,NQO1,1,764.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,PDK1,1,506.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,PRDX1,1,2819.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,SLC2A1,1,1547.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,SOD1,1,18464.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,SOD2,1,42623.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,TXN,1,6752.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,hypoxia_oxidative_stress,VEGFA,1,9417.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,ACAN,1,32823.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,B3GAT1,0,0.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,BGN,1,86680.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,CILP,1,21413.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,COL2A1,1,64810.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,COL9A1,1,92.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,COL9A2,1,3178.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,COL9A3,1,2970.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,COMP,1,59598.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,FMOD,1,76374.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,HAPLN1,1,14440.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,HAS2,1,421.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,KRT19,0,0.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,MATN3,1,280.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,disc_matrix_homeostasis,SOX9,1,12944.00000000,31860111.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,ADAMTS4,1,11.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,ADAMTS5,1,51.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL1A1,1,3038.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL1A2,1,7313.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL3A1,1,8418.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL5A1,1,1015.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL5A2,1,1571.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL6A1,1,1717.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL6A2,1,140.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,COL6A3,1,1712.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,DCN,1,21586.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,FN1,1,98896.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,LOX,1,537.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,LOXL2,1,691.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,LUM,1,32275.00000000,8815975.00000000
