dataset,gsm,donor_id,library_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role
GSE153066,GSM4633749,IDD2,IDD2,NP,degenerated,disc_matrix_homeostasis,3.91946516,score_available,1.000000,3576,5793697.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633750,IDD3,IDD3,NP,degenerated,ecm_collagen_remodeling,6.00141996,score_available,1.000000,6260,9106651.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633750,IDD3,IDD3,NP,degenerated,inflammatory_nfkb,4.20105311,score_available,1.000000,6260,9106651.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633750,IDD3,IDD3,NP,degenerated,hypoxia_oxidative_stress,4.83150554,score_available,1.000000,6260,9106651.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633750,IDD3,IDD3,NP,degenerated,disc_matrix_homeostasis,4.42054251,score_available,1.000000,6260,9106651.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633751,IDD4,IDD4,NP,degenerated,ecm_collagen_remodeling,6.67666831,score_available,1.000000,5772,11306890.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633751,IDD4,IDD4,NP,degenerated,inflammatory_nfkb,3.68700404,score_available,1.000000,5772,11306890.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633751,IDD4,IDD4,NP,degenerated,hypoxia_oxidative_stress,5.28074890,score_available,1.000000,5772,11306890.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633751,IDD4,IDD4,NP,degenerated,disc_matrix_homeostasis,5.35372348,score_available,1.000000,5772,11306890.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633752,IDD5,IDD5,NP,degenerated,ecm_collagen_remodeling,5.18051542,score_available,1.000000,5026,7149106.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633752,IDD5,IDD5,NP,degenerated,inflammatory_nfkb,4.38641488,score_available,1.000000,5026,7149106.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633752,IDD5,IDD5,NP,degenerated,hypoxia_oxidative_stress,4.71777496,score_available,1.000000,5026,7149106.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633752,IDD5,IDD5,NP,degenerated,disc_matrix_homeostasis,4.10011292,score_available,1.000000,5026,7149106.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633753,IDD6,IDD6,NP,degenerated,ecm_collagen_remodeling,7.04755160,score_available,1.000000,4976,17483089.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633753,IDD6,IDD6,NP,degenerated,inflammatory_nfkb,4.21619994,score_available,1.000000,4976,17483089.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633753,IDD6,IDD6,NP,degenerated,hypoxia_oxidative_stress,4.91785213,score_available,1.000000,4976,17483089.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633753,IDD6,IDD6,NP,degenerated,disc_matrix_homeostasis,4.46193605,score_available,1.000000,4976,17483089.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633754,IDD7,IDD7,NP,degenerated,ecm_collagen_remodeling,5.64119183,score_available,1.000000,5751,13630422.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633754,IDD7,IDD7,NP,degenerated,inflammatory_nfkb,4.47947944,score_available,1.000000,5751,13630422.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633754,IDD7,IDD7,NP,degenerated,hypoxia_oxidative_stress,4.90040088,score_available,1.000000,5751,13630422.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633754,IDD7,IDD7,NP,degenerated,disc_matrix_homeostasis,5.20081737,score_available,1.000000,5751,13630422.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633755,IDD8,IDD8,NP,degenerated,ecm_collagen_remodeling,6.58377581,score_available,1.000000,5455,11670714.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633755,IDD8,IDD8,NP,degenerated,inflammatory_nfkb,3.99124861,score_available,1.000000,5455,11670714.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633755,IDD8,IDD8,NP,degenerated,hypoxia_oxidative_stress,5.32405191,score_available,1.000000,5455,11670714.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633755,IDD8,IDD8,NP,degenerated,disc_matrix_homeostasis,4.13548110,score_available,1.000000,5455,11670714.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
