dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,SOD1,8,4190,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,SOD2,8,2773,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,TXN,8,5905,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,VEGFA,8,693,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,ACAN,8,1230,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,B3GAT1,8,0,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,BGN,8,1752,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,CILP,8,88,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,COL2A1,8,2,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,COL9A1,8,1,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,COL9A2,8,8,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,COL9A3,8,2,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,COMP,8,124,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,FMOD,8,1444,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,HAPLN1,8,2587,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,HAS2,8,273,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,KRT19,8,143,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,MATN3,8,18,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,disc_matrix_homeostasis,SOX9,8,137,12015201
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,ADAMTS4,9,17,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,ADAMTS5,9,2302,80129456
